X	arrayTrain_postMeanCollapse	htp1.5_WU_update	commercial_4x44k_postMeanCollapse_WashU_v2	commercial_1x44k_postMeanCollapse_WashU	Agilent_244K	RNAseq.Freeze.20120907	totalRNA.FFPE.20151111	HTAN_BRCA_LOG2_FPKM	HTAN_BRCA_log2_fpkm_uqnorm	HTAN_BRCA	HTAN_BRCA_singlecell_cell_level	HTAN_BRCA_singlecell_cluster_level	HTAN_BRCA_singlecell_cluster_level_2	HTAN_BRCA_singlecell_cluster_level_nonormals	HTAN_BRCA_singlecell_cell_level_nonormals	HTAN_BRCA_singlenuclei_cluster_level	HTAN_BRCA_singlenuclei_cluster_level_df3.0	HTAN-BRCA-bulk-20201201	HTAN-BRCA-sc-cluster-20201209	HTAN-BRCA-sn-cluster-20201209	HTAN-BRCA-sc-cluster-20201215	HTAN-BRCA-sn-cluster-20201215	HTAN-BRCA-sc-average	HTAN-BRCA-sn-average	HTAN-BRCA-sc-cluster-20201218	HTAN-BRCA-sn-cluster-20201218	HTAN-BRCA-ST-cluster-20210303	HTAN-BRCA-ST-cluster-anchor-20210303	HTAN-BRCA-sn-cluster-20210319
ACTR3B	-0.5155	1.833329153	-0.242846154	-0.187	-0.388494218	7.741020626	7.553	-0.19300067	-0.19383056	15.41	0	0.010565211	0.009489852	0.009489852	0	0.32290687	0.315745742	15.41	0.011211729	0.319215686	0.009025966	0.321100917	0.01656798	0.370561653	0.009191176	0.335562165	0.171751412	0	0.295058956
ANLN	-2.479	-1.155718884	-2.51515	-0.927	-2.032012682	10.08239391	10.134	-0.109790854	-0.028971448	16.84	0	0.028433274	0.02742866	0.02742866	0	0.061088988	0.060150376	16.84	0.030205397	0.060606061	0.015038444	0.035714286	0.044238215	0.20755326	0.01843318	0.035528661	0.055371901	0	0.057396778
BAG1	-0.1115	-1.497888263	-0.079864865	-0.1665	-0.03725825	10.27323957	9.344	-0.073081664	-0.092802429	17	0	0.270576859	0.253353642	0.253353642	0	0.079492803	0.080825617	17.03	0.271653543	0.07690006	0.257401316	0.065767285	0.297654293	0.074798991	0.257142857	0.066172834	2.492063492	0	0.079576637
BCL2	0.622	2.487484419	1.07725	0.237	1.257524808	9.894600585	10.609	0.194099669	0.280363352	17.19	0	0.111377885	0.089253202	0.089253202	0	3.969773517	3.969286064	17.66	0.071582579	4.079695283	0.040818216	3.754253308	0.135048964	3.535242679	0.045685279	3.756031233	0.534710744	0	3.750179727
BIRC5	-1.822	-0.283588588	-1.788589744	-0.2565	-1.088205268	8.749377386	8.0915	-0.027304639	0.034857078	16.41	0	0.098701563	0.11033701	0.11033701	0.693147181	0.029565277	0.029080838	16.41	0.134417005	0.029290945	0.084619676	0.017946162	0.210088818	0.060566935	0.069565217	0.016241267	0.385950413	3.617379439	0.024696198
BLVRA	0.039	2.353384781	0.500923077	0.071	-0.022254452	10.02330221	8.19	0.051155955	0.073155785	17.53	0	0.131346979	0.139983373	0.139983373	0	0.181256232	0.161933234	17.52	0.108108108	0.160609037	0.134082397	0.109375	0.133170121	0.131932625	0.122171946	0.109997235	0.891735537	0	0.151029748
CCNB1	-2.237	0.37935647	-1.922225	-1.2715	-2.186852472	10.07544418	8.495	0.109270171	0.106308854	18.31	0	0.072651866	0.077433949	0.077433949	0.693147181	0.025690832	0.024856157	18.31	0.08172043	0.023566879	0.05131579	0.017241379	0.192723753	0.042754857	0.057692308	0.016842684	0.309090909	2.080488784	0.024938766
CCNE1	-1.0145	0.651351044	-1.159175	-0.445	-1.066005778	6.575216259	6.611	-0.240079266	-0.031304851	15.49	0	0.00764829	0.006807771	0.006807771	0	0.008440188	0.008331972	15.21	0.008602151	0.007324841	0.005348922	0.004705882	0.022716921	0.029872645	0.005050505	0.004757291	0.034883721	0	0.008152174
CDC20	-1.4325	-0.839824418	-2.337333333	-1.3615	-1.751721131	9.644891313	8.121	0.135257483	0.210245176	17.82	0	0.038314633	0.042702632	0.042702632	0	0.008808589	0.008256275	17.82	0.055841924	0.008280255	0.027532205	0.004354136	0.102937827	0.0219203	0.034965035	0.004689631	0.242975207	51.16110021	0.012721665
CDC6	-2.3195	0.71656509	-2.4434	-1.606	-2.057808926	8.941387326	8.025	-0.270765146	-0.118230709	15.47	0	0.016953447	0.020154331	0.020154331	0	0.021795062	0.021186441	15.51	0.021561018	0.021960784	0.011764706	0.014545455	0.028011842	0.042461412	0.013513514	0.013969156	0.028099174	26.92386839	0.02173913
NUF2	-2.038	1.638392758	-2.109948718	-1.417	-1.729310094	8.351492072	7.2205	0.070627178	0.231076831	15.31	0	0.020743905	0.021877234	0.021877234	0	0.083432315	0.078782453	15.43	0.033028812	0.077419355	0.011931818	0.047856431	0.062001822	0.178619637	0.018404908	0.046823267	0.058139535	7.447087894	0.082427536
CDH3	0.632	1.366044601	0.1884861	0.532	0.296621134	10.06702348	9.427	-0.185166902	-0.021640544	16.7	0	0.005334722	0.004202253	0.004202253	0	0.041025143	0.036777583	16.54	0.00617284	0.044281618	0.002619974	0.032786885	0.011557732	0.258407184	0.006134969	0.032116713	0.05060241	18.45427005	0.038390093
CENPF	-1.879	-0.962983198	-2.009641026	-1.3315	-1.21260496	11.51559215	11.989	0.179224027	0.252802606	17.07	0	0.186844374	0.208395772	0.208395772	0.693147181	0.186609127	0.163862114	17.64	0.213516746	0.165454545	0.135482181	0.100422833	0.41949442	0.496625389	0.147928994	0.095015044	0.347933884	348.6903287	0.169659443
CEP55	-2.04	-0.371643412	-2.079578947	-0.964	-1.204119457	9.052467792	8.265	0.185221692	0.295855582	16.21	0	0.022456671	0.030685709	0.030685709	0	0.019580256	0.019041025	16.43	0.035791289	0.019235573	0.018483737	0.010967099	0.059496698	0.045689301	0.019607843	0.010771446	0.03626943	0	0.017285206
CXXC5	-0.0505	1.927138533	-0.368105263	-0.3395	0.583435937	9.103994687	8.451	0.050360154	0.103325733	18.64	0	0.219319639	0.204130653	0.204130653	0	0.139690424	0.138059701	18.78	0.203608247	0.140012743	0.201913463	0.098654709	0.212992485	0.118551558	0.218009479	0.111603774	2.015873016	0	0.125902335
EGFR	-0.045	-0.40895264	-1.61425	-0.876	-0.829362046	8.272603427	9.968	0.315983436	0.294669975	17.87	0	0.020305092	0.013907518	0.013907518	0	0.041328485	0.048684855	17.76	0.02238806	0.072941176	0.021004902	0.06122449	0.04896379	0.496537355	0.02173913	0.05692576	0.067152104	6.57827077	0.056939502
ERBB2	2.0265	3.373980383	2.213675	1.301	2.084875895	12.53649007	11.928	-0.082847626	-0.108431387	19.26	0	0.070598967	0.077619048	0.077619048	0	0.514419149	0.501195764	19.14	0.062068966	0.503766787	0.073450135	0.43003413	0.090753815	0.501643289	0.065830721	0.426688227	4.174603175	0.743412165	0.489308176
ESR1	1.1185	2.916796808	0.851794872	0.5205	1.407449286	10.54897166	10.048	-0.012682854	0.090751035	17.21	0	0.054016422	0.044227598	0.044227598	0	14.16447918	14.15962863	17.7	0.022430532	14.06134051	0.020529671	10.5	0.087736279	12.49991197	0.035714286	10.72874302	6.01626506	1.328046502	14.15078558
EXO1	-2.0815	-0.436104334	-1.7515	-1.345	-1.953058342	8.237287651	8.103	-0.324109466	-0.031253766	15.61	0	0.005338829	0.004911775	0.004911775	0	0.019480045	0.018644068	16.11	0.009259259	0.01943294	0.002432358	0.010416667	0.020325666	0.077205235	0.002304147	0.009575123	0.010362694	2741.014923	0.0176
FGFR4	-1.5571	-0.09021586	-1.17074359	-0.306	-1.008645285	6.923929399	6.08	-0.446162771	-0.349868756	14.53	0	0.001618173	0.001323356	0.001323356	0	0.013431733	0.012089528	14.15	0.001431298	0.012740445	0	0.010159652	0.024311091	0.022800634	0	0.010642556	0.060215054	0	0.014755011
FOXA1	1.7755	2.004403583	0.756825	1.38	2.892450211	12.39967935	11.367	0.366011945	0.413054495	18.28	0	0.154037267	0.151899093	0.151899093	0	0.242946844	0.220149254	20.29	0.141791045	0.230769231	0.148333334	0.18	0.207014348	0.15969247	0.135135135	0.204963629	5.860841424	0	0.2544
FOXC1	-0.45	1.42887446	-0.884275	-0.329	-0.140602891	7.423572709	8.1455	-0.044782818	0.12789332	16.93	0	0.032034143	0.018947564	0.018947564	0	0.003013108	0.002745035	16.93	0.027586207	0.00299222	0.01795846	0.00174216	0.04896379	0.117553847	0.01905972	0.002156729	0.032091691	0	0.002860412
